@relation MyRelation

@attribute car_spec {E}
@attribute prec1_spec {'\'',|,>,&,<,'}',A,b,p,t,v,j,H,x,d,*,r,z,s,$,c,S,D,T,Z,E,g,f,q,k,l,m,n,h,w,Y,y,F,N,K,a,u,i,~,o,'{',-,_}
@attribute prec2_spec {'\'',|,>,&,<,'}',A,b,p,t,v,j,H,x,d,*,r,z,s,$,c,S,D,T,Z,E,g,f,q,k,l,m,n,h,w,Y,y,F,N,K,a,u,i,~,o,'{',-,_}
@attribute suiv1_spec {'\'',|,>,&,<,'}',A,b,p,t,v,j,H,x,d,*,r,z,s,$,c,S,D,T,Z,E,g,f,q,k,l,m,n,h,w,Y,y,F,N,K,a,u,i,~,o,'{',-,_}
@attribute suiv2_spec {'\'',|,>,&,<,'}',A,b,p,t,v,j,H,x,d,*,r,z,s,$,c,S,D,T,Z,E,g,f,q,k,l,m,n,h,w,Y,y,F,N,K,a,u,i,~,o,'{',-,_}
@attribute suiv3_spec {'\'',|,>,&,<,'}',A,b,p,t,v,j,H,x,d,*,r,z,s,$,c,S,D,T,Z,E,g,f,q,k,l,m,n,h,w,Y,y,F,N,K,a,u,i,~,o,'{',-,_}
@attribute deb1 {'\'',|,>,&,<,'}',A,b,p,t,v,j,H,x,d,*,r,z,s,$,c,S,D,T,Z,E,g,f,q,k,l,m,n,h,w,Y,y,F,N,K,a,u,i,~,o,'{',-,_}
@attribute deb2 {'\'',|,>,&,<,'}',A,b,p,t,v,j,H,x,d,*,r,z,s,$,c,S,D,T,Z,E,g,f,q,k,l,m,n,h,w,Y,y,F,N,K,a,u,i,~,o,'{',-,_}
@attribute fin1 {'\'',|,>,&,<,'}',A,b,p,t,v,j,H,x,d,*,r,z,s,$,c,S,D,T,Z,E,g,f,q,k,l,m,n,h,w,Y,y,F,N,K,a,u,i,~,o,'{',-,_}
@attribute fin2 {'\'',|,>,&,<,'}',A,b,p,t,v,j,H,x,d,*,r,z,s,$,c,S,D,T,Z,E,g,f,q,k,l,m,n,h,w,Y,y,F,N,K,a,u,i,~,o,'{',-,_}
@attribute classe {ajout_y,supp_esp}

@data
$,f,T,-,-,-,T,f,f,$,ajout_y
$,t,f,-,-,-,T,f,t,$,ajout_y
$,z,l,-,-,-,n,l,z,$,ajout_y
$,z,l,-,-,-,t,l,z,$,ajout_y
$,z,l,-,-,-,y,l,z,$,ajout_y
$,t,y,-,-,-,l,z,t,$,ajout_y
$,A,n,-,-,-,l,z,A,$,ajout_y
$,z,l,-,-,-,l,z,z,$,ajout_y
$,t,z,-,-,-,l,z,t,$,ajout_y
$,r,D,-,-,-,n,D,r,$,ajout_y
$,r,D,-,-,-,t,D,r,$,ajout_y
$,r,D,-,-,-,y,D,r,$,ajout_y
$,r,D,-,-,-,y,t,r,$,ajout_y
$,r,D,-,-,-,t,t,r,$,ajout_y
$,t,y,-,-,-,D,r,t,$,ajout_y
$,A,n,-,-,-,D,r,A,$,ajout_y
$,r,D,-,-,-,D,r,r,$,ajout_y
$,t,r,-,-,-,D,r,t,$,ajout_y
$,t,r,-,-,-,t,D,t,$,ajout_y
$,q,d,-,-,-,n,d,q,$,ajout_y
$,q,d,-,-,-,t,d,q,$,ajout_y
$,q,d,-,-,-,y,d,q,$,ajout_y
$,q,d,-,-,-,y,t,q,$,ajout_y
$,q,d,-,-,-,t,t,q,$,ajout_y
$,t,y,-,-,-,d,q,t,$,ajout_y
$,A,n,-,-,-,d,q,A,$,ajout_y
$,q,d,-,-,-,d,q,q,$,ajout_y
$,t,q,-,-,-,d,q,t,$,ajout_y
$,t,q,-,-,-,t,d,t,$,ajout_y
$,n,-,q,$,-,n,$,q,$,ajout_y
$,t,-,q,$,-,t,$,q,$,ajout_y
$,y,-,q,$,-,y,$,q,$,ajout_y
$,t,y,q,$,-,y,t,q,$,ajout_y
$,t,t,q,$,-,t,t,q,$,ajout_y
$,-,-,q,y,t,$,q,t,$,ajout_y
$,-,-,q,y,n,$,q,A,$,ajout_y
$,-,-,q,$,-,$,q,q,$,ajout_y
$,-,-,q,t,$,$,q,t,$,ajout_y
$,t,-,q,t,$,t,$,t,$,ajout_y
$,S,q,-,-,-,n,q,S,$,ajout_y
$,S,q,-,-,-,t,q,S,$,ajout_y
$,S,q,-,-,-,y,q,S,$,ajout_y
$,S,q,-,-,-,y,t,S,$,ajout_y
$,S,q,-,-,-,t,t,S,$,ajout_y
$,t,y,-,-,-,q,S,t,$,ajout_y
$,A,n,-,-,-,q,S,A,$,ajout_y
$,S,q,-,-,-,q,S,S,$,ajout_y
$,t,S,-,-,-,q,S,t,$,ajout_y
$,t,S,-,-,-,t,q,t,$,ajout_y
$,r,n,$,-,-,n,r,$,$,ajout_y
$,r,t,$,-,-,t,r,$,$,ajout_y
$,r,y,$,-,-,y,r,$,$,ajout_y
$,r,t,$,-,-,y,t,$,$,ajout_y
$,r,t,$,-,-,t,t,$,$,ajout_y
$,r,-,y,t,$,r,$,t,$,ajout_y
$,r,-,y,n,A,r,$,A,$,ajout_y
$,r,-,$,-,-,r,$,$,$,ajout_y
$,r,-,t,$,-,r,$,t,$,ajout_y
$,r,t,t,$,-,t,r,t,$,ajout_y
$,k,f,-,-,-,n,f,k,$,ajout_y
$,k,f,-,-,-,t,f,k,$,ajout_y
$,k,f,-,-,-,y,f,k,$,ajout_y
$,k,f,-,-,-,y,t,k,$,ajout_y
$,k,f,-,-,-,t,t,k,$,ajout_y
$,t,y,-,-,-,f,k,t,$,ajout_y
$,A,n,-,-,-,f,k,A,$,ajout_y
$,k,f,-,-,-,f,k,k,$,ajout_y
$,t,k,-,-,-,f,k,t,$,ajout_y
$,t,k,-,-,-,t,f,t,$,ajout_y
$,S,m,-,-,-,n,m,S,$,ajout_y
$,S,m,-,-,-,t,m,S,$,ajout_y
$,S,m,-,-,-,y,m,S,$,ajout_y
$,S,m,-,-,-,y,t,S,$,ajout_y
$,S,m,-,-,-,t,t,S,$,ajout_y
$,t,y,-,-,-,m,S,t,$,ajout_y
$,A,n,-,-,-,m,S,A,$,ajout_y
$,S,m,-,-,-,m,S,S,$,ajout_y
$,t,S,-,-,-,m,S,t,$,ajout_y
$,t,S,-,-,-,t,m,t,$,ajout_y
$,b,S,-,-,-,n,S,b,$,ajout_y
$,b,S,-,-,-,t,S,b,$,ajout_y
$,b,S,-,-,-,y,S,b,$,ajout_y
$,b,S,-,-,-,y,t,b,$,ajout_y
$,b,S,-,-,-,t,t,b,$,ajout_y
$,t,y,-,-,-,S,b,t,$,ajout_y
$,A,n,-,-,-,S,b,A,$,ajout_y
$,b,S,-,-,-,S,b,b,$,ajout_y
$,t,b,-,-,-,S,b,t,$,ajout_y
$,t,b,-,-,-,t,S,t,$,ajout_y
$,T,H,-,-,-,n,H,T,$,ajout_y
$,T,H,-,-,-,t,H,T,$,ajout_y
$,T,H,-,-,-,y,H,T,$,ajout_y
$,T,H,-,-,-,y,t,T,$,ajout_y
$,T,H,-,-,-,t,t,T,$,ajout_y
$,t,y,-,-,-,H,T,t,$,ajout_y
$,A,n,-,-,-,H,T,A,$,ajout_y
$,T,H,-,-,-,H,T,T,$,ajout_y
$,t,T,-,-,-,H,T,t,$,ajout_y
$,t,T,-,-,-,t,H,t,$,ajout_y
$,n,-,w,f,$,n,$,f,$,ajout_y
$,t,-,w,f,$,t,$,f,$,ajout_y
$,y,-,w,f,$,y,$,f,$,ajout_y
$,t,y,A,f,$,y,t,f,$,ajout_y
$,t,t,A,f,$,t,t,f,$,ajout_y
$,-,-,f,t,$,$,f,t,$,ajout_y
$,-,-,f,n,A,$,f,A,$,ajout_y
$,-,-,A,f,$,$,A,f,$,ajout_y
$,-,-,A,f,t,$,A,t,$,ajout_y
$,t,-,A,f,$,t,$,f,$,ajout_y
$,t,-,A,f,t,t,$,t,$,ajout_y
$,-,-,w,f,$,$,w,f,$,ajout_y
$,q,w,-,-,-,n,s,q,$,ajout_y
$,q,w,-,-,-,t,s,q,$,ajout_y
$,q,w,-,-,-,y,s,q,$,ajout_y
$,q,A,-,-,-,y,t,q,$,ajout_y
$,q,A,-,-,-,t,t,q,$,ajout_y
$,t,q,-,-,-,s,q,t,$,ajout_y
$,A,n,-,-,-,s,q,A,$,ajout_y
$,q,A,-,-,-,s,A,q,$,ajout_y
$,t,q,-,-,-,s,A,t,$,ajout_y
$,q,A,-,-,-,t,s,q,$,ajout_y
$,t,q,-,-,-,t,s,t,$,ajout_y
$,q,w,-,-,-,s,w,q,$,ajout_y
$,m,w,-,-,-,n,E,m,$,ajout_y
$,m,w,-,-,-,t,E,m,$,ajout_y
$,m,w,-,-,-,y,E,m,$,ajout_y
$,m,A,-,-,-,y,t,m,$,ajout_y
$,m,A,-,-,-,t,t,m,$,ajout_y
$,t,m,-,-,-,E,m,t,$,ajout_y
$,A,n,-,-,-,E,m,A,$,ajout_y
$,m,A,-,-,-,E,A,m,$,ajout_y
$,t,m,-,-,-,E,A,t,$,ajout_y
$,m,A,-,-,-,t,E,m,$,ajout_y
$,t,m,-,-,-,t,E,t,$,ajout_y
$,m,w,-,-,-,E,w,m,$,ajout_y
$,l,w,-,-,-,n,q,l,$,ajout_y
$,l,w,-,-,-,t,q,l,$,ajout_y
$,l,w,-,-,-,y,q,l,$,ajout_y
$,l,A,-,-,-,y,t,l,$,ajout_y
$,l,A,-,-,-,t,t,l,$,ajout_y
$,t,l,-,-,-,q,l,t,$,ajout_y
$,A,n,-,-,-,q,l,A,$,ajout_y
$,l,A,-,-,-,q,A,l,$,ajout_y
$,t,l,-,-,-,q,A,t,$,ajout_y
$,l,A,-,-,-,t,q,l,$,ajout_y
$,t,l,-,-,-,t,q,t,$,ajout_y
$,l,w,-,-,-,q,w,l,$,ajout_y
$,m,w,-,-,-,n,q,m,$,ajout_y
$,m,w,-,-,-,t,q,m,$,ajout_y
$,m,w,-,-,-,y,q,m,$,ajout_y
$,m,A,-,-,-,y,t,m,$,ajout_y
$,m,A,-,-,-,t,t,m,$,ajout_y
$,t,m,-,-,-,q,m,t,$,ajout_y
$,A,n,-,-,-,q,m,A,$,ajout_y
$,m,A,-,-,-,q,A,m,$,ajout_y
$,t,m,-,-,-,q,A,t,$,ajout_y
$,m,A,-,-,-,t,q,m,$,ajout_y
$,t,m,-,-,-,t,q,t,$,ajout_y
$,m,w,-,-,-,q,w,m,$,ajout_y
$,m,w,-,-,-,n,s,m,$,ajout_y
$,m,w,-,-,-,t,s,m,$,ajout_y
$,m,w,-,-,-,y,s,m,$,ajout_y
$,m,A,-,-,-,y,t,m,$,ajout_y
$,m,A,-,-,-,t,t,m,$,ajout_y
$,t,m,-,-,-,s,m,t,$,ajout_y
$,A,n,-,-,-,s,m,A,$,ajout_y
$,m,A,-,-,-,s,A,m,$,ajout_y
$,t,m,-,-,-,s,A,t,$,ajout_y
$,m,A,-,-,-,t,s,m,$,ajout_y
$,t,m,-,-,-,t,s,t,$,ajout_y
$,m,w,-,-,-,s,w,m,$,ajout_y
$,n,w,-,-,-,n,x,n,$,ajout_y
$,n,w,-,-,-,t,x,n,$,ajout_y
$,n,w,-,-,-,y,x,n,$,ajout_y
$,n,A,-,-,-,y,t,n,$,ajout_y
$,n,A,-,-,-,t,t,n,$,ajout_y
$,t,n,-,-,-,x,n,t,$,ajout_y
$,A,n,-,-,-,x,n,A,$,ajout_y
$,n,A,-,-,-,x,A,n,$,ajout_y
$,t,n,-,-,-,x,A,t,$,ajout_y
$,n,A,-,-,-,t,x,n,$,ajout_y
$,t,n,-,-,-,t,x,t,$,ajout_y
$,n,w,-,-,-,x,w,n,$,ajout_y
$,q,w,-,-,-,n,*,q,$,ajout_y
$,q,w,-,-,-,t,*,q,$,ajout_y
$,q,w,-,-,-,y,*,q,$,ajout_y
$,q,A,-,-,-,y,t,q,$,ajout_y
$,q,A,-,-,-,t,t,q,$,ajout_y
$,t,q,-,-,-,*,q,t,$,ajout_y
$,A,n,-,-,-,*,q,A,$,ajout_y
$,q,A,-,-,-,*,A,q,$,ajout_y
$,t,q,-,-,-,*,A,t,$,ajout_y
$,q,A,-,-,-,t,*,q,$,ajout_y
$,t,q,-,-,-,t,*,t,$,ajout_y
$,q,w,-,-,-,*,w,q,$,ajout_y
$,d,w,-,-,-,n,q,d,$,ajout_y
$,d,w,-,-,-,t,q,d,$,ajout_y
$,d,w,-,-,-,y,q,d,$,ajout_y
$,d,A,-,-,-,y,t,d,$,ajout_y
$,d,A,-,-,-,t,t,d,$,ajout_y
$,t,d,-,-,-,q,d,t,$,ajout_y
$,A,n,-,-,-,q,d,A,$,ajout_y
$,d,A,-,-,-,q,A,d,$,ajout_y
$,t,d,-,-,-,q,A,t,$,ajout_y
$,d,A,-,-,-,t,q,d,$,ajout_y
$,t,d,-,-,-,t,q,t,$,ajout_y
$,d,w,-,-,-,q,w,d,$,ajout_y
$,r,w,-,-,-,y,d,r,$,ajout_y
$,r,w,-,-,-,t,d,r,$,ajout_y
$,r,A,-,-,-,d,A,r,$,ajout_y
$,t,r,-,-,-,d,A,t,$,ajout_y
$,b,w,-,-,-,n,*,b,$,ajout_y
$,b,w,-,-,-,y,*,b,$,ajout_y
$,b,w,-,-,-,t,*,b,$,ajout_y
$,b,A,-,-,-,*,A,b,$,ajout_y
$,t,b,-,-,-,*,A,t,$,ajout_y
$,H,w,-,-,-,y,f,H,$,ajout_y
$,H,w,-,-,-,t,f,H,$,ajout_y
$,H,A,-,-,-,f,A,H,$,ajout_y
$,t,H,-,-,-,f,A,t,$,ajout_y
$,E,j,-,-,-,n,r,E,$,ajout_y
$,E,j,-,-,-,t,r,E,$,ajout_y
$,E,j,-,-,-,y,r,E,$,ajout_y
$,t,E,-,-,-,r,j,t,$,ajout_y
$,A,n,-,-,-,r,j,A,$,ajout_y
$,E,j,-,-,-,r,j,E,$,ajout_y
$,E,j,-,-,-,>,r,E,$,ajout_y
$,T,b,-,-,-,n,h,T,$,ajout_y
$,T,b,-,-,-,t,h,T,$,ajout_y
$,T,b,-,-,-,y,h,T,$,ajout_y
$,t,T,-,-,-,h,b,t,$,ajout_y
$,A,n,-,-,-,h,b,A,$,ajout_y
$,T,b,-,-,-,h,b,T,$,ajout_y
$,T,b,-,-,-,>,h,T,$,ajout_y
$,S,r,-,-,-,n,H,S,$,ajout_y
$,S,r,-,-,-,t,H,S,$,ajout_y
$,S,r,-,-,-,y,H,S,$,ajout_y
$,t,S,-,-,-,H,r,t,$,ajout_y
$,A,n,-,-,-,H,r,A,$,ajout_y
$,S,r,-,-,-,H,r,S,$,ajout_y
$,S,r,-,-,-,>,H,S,$,ajout_y
$,f,r,-,-,-,n,E,f,$,ajout_y
$,f,r,-,-,-,t,E,f,$,ajout_y
$,f,r,-,-,-,y,E,f,$,ajout_y
$,t,f,-,-,-,E,r,t,$,ajout_y
$,A,n,-,-,-,E,r,A,$,ajout_y
$,f,r,-,-,-,E,r,f,$,ajout_y
$,f,r,-,-,-,>,E,f,$,ajout_y
$,r,D,-,-,-,n,H,r,$,ajout_y
$,r,D,-,-,-,t,H,r,$,ajout_y
$,r,D,-,-,-,y,H,r,$,ajout_y
$,t,r,-,-,-,H,D,t,$,ajout_y
$,A,n,-,-,-,H,D,A,$,ajout_y
$,r,D,-,-,-,H,D,r,$,ajout_y
$,r,D,-,-,-,>,H,r,$,ajout_y
$,b,r,-,-,-,n,h,b,$,ajout_y
$,b,r,-,-,-,t,h,b,$,ajout_y
$,b,r,-,-,-,y,h,b,$,ajout_y
$,t,b,-,-,-,h,r,t,$,ajout_y
$,A,n,-,-,-,h,r,A,$,ajout_y
$,b,r,-,-,-,h,r,b,$,ajout_y
$,b,r,-,-,-,>,h,b,$,ajout_y
$,E,n,-,-,-,n,q,E,$,ajout_y
$,E,n,-,-,-,t,q,E,$,ajout_y
$,E,n,-,-,-,y,q,E,$,ajout_y
$,t,E,-,-,-,q,n,t,$,ajout_y
$,A,n,-,-,-,q,n,A,$,ajout_y
$,E,n,-,-,-,q,n,E,$,ajout_y
$,E,n,-,-,-,>,q,E,$,ajout_y
$,r,v,-,-,-,n,E,r,$,ajout_y
$,r,v,-,-,-,t,E,r,$,ajout_y
$,r,v,-,-,-,y,E,r,$,ajout_y
$,t,r,-,-,-,E,v,t,$,ajout_y
$,A,n,-,-,-,E,v,A,$,ajout_y
$,r,v,-,-,-,E,v,r,$,ajout_y
$,r,v,-,-,-,>,E,r,$,ajout_y
$,r,f,-,-,-,n,k,r,$,ajout_y
$,r,f,-,-,-,t,k,r,$,ajout_y
$,r,f,-,-,-,y,k,r,$,ajout_y
$,t,r,-,-,-,k,f,t,$,ajout_y
$,A,n,-,-,-,k,f,A,$,ajout_y
$,r,f,-,-,-,k,f,r,$,ajout_y
$,r,f,-,-,-,>,k,r,$,ajout_y
$,d,E,-,-,-,n,q,d,$,ajout_y
$,d,E,-,-,-,t,q,d,$,ajout_y
$,d,E,-,-,-,y,q,d,$,ajout_y
$,t,d,-,-,-,q,E,t,$,ajout_y
$,A,n,-,-,-,q,E,A,$,ajout_y
$,d,E,-,-,-,q,E,d,$,ajout_y
$,d,E,-,-,-,>,q,d,$,ajout_y
$,E,D,-,-,-,n,r,E,$,ajout_y
$,E,D,-,-,-,t,r,E,$,ajout_y
$,E,D,-,-,-,y,r,E,$,ajout_y
$,E,D,-,-,-,y,t,E,$,ajout_y
$,E,D,-,-,-,t,t,E,$,ajout_y
$,t,E,-,-,-,r,D,t,$,ajout_y
$,A,n,-,-,-,r,D,A,$,ajout_y
$,E,D,-,-,-,r,D,E,$,ajout_y
$,t,E,-,-,-,t,r,t,$,ajout_y
$,E,D,-,-,-,>,r,E,$,ajout_y
$,q,t,-,-,-,n,E,q,$,ajout_y
$,q,t,-,-,-,t,E,q,$,ajout_y
$,q,t,-,-,-,y,E,q,$,ajout_y
$,q,t,-,-,-,y,t,q,$,ajout_y
$,q,t,-,-,-,t,t,q,$,ajout_y
$,t,q,-,-,-,E,t,t,$,ajout_y
$,A,n,-,-,-,E,t,A,$,ajout_y
$,q,t,-,-,-,E,t,q,$,ajout_y
$,t,q,-,-,-,t,E,t,$,ajout_y
$,q,t,-,-,-,>,E,q,$,ajout_y
$,r,h,-,-,-,n,q,r,$,ajout_y
$,r,h,-,-,-,t,q,r,$,ajout_y
$,r,h,-,-,-,y,q,r,$,ajout_y
$,r,h,-,-,-,y,t,r,$,ajout_y
$,r,h,-,-,-,t,t,r,$,ajout_y
$,t,r,-,-,-,q,h,t,$,ajout_y
$,A,n,-,-,-,q,h,A,$,ajout_y
$,r,h,-,-,-,q,h,r,$,ajout_y
$,t,r,-,-,-,t,q,t,$,ajout_y
$,r,h,-,-,-,>,q,r,$,ajout_y
$,E,n,q,$,-,n,E,q,$,ajout_y
$,E,t,q,$,-,t,E,q,$,ajout_y
$,E,y,q,$,-,y,E,q,$,ajout_y
$,E,t,q,$,-,y,t,q,$,ajout_y
$,E,t,q,$,-,t,t,q,$,ajout_y
$,E,-,q,t,$,E,$,t,$,ajout_y
$,E,-,q,n,A,E,$,A,$,ajout_y
$,E,-,q,$,-,E,$,q,$,ajout_y
$,E,t,q,t,$,t,E,t,$,ajout_y
$,E,>,q,$,-,>,E,q,$,ajout_y
$,r,S,-,-,-,n,H,r,$,ajout_y
$,r,S,-,-,-,t,H,r,$,ajout_y
$,r,S,-,-,-,y,H,r,$,ajout_y
$,r,S,-,-,-,y,t,r,$,ajout_y
$,r,S,-,-,-,t,t,r,$,ajout_y
$,t,r,-,-,-,H,S,t,$,ajout_y
$,A,n,-,-,-,H,S,A,$,ajout_y
$,r,S,-,-,-,H,S,r,$,ajout_y
$,t,r,-,-,-,t,H,t,$,ajout_y
$,r,S,-,-,-,>,H,r,$,ajout_y
$,q,n,-,-,-,n,x,q,$,ajout_y
$,q,n,-,-,-,t,x,q,$,ajout_y
$,q,n,-,-,-,y,x,q,$,ajout_y
$,q,n,-,-,-,y,t,q,$,ajout_y
$,q,n,-,-,-,t,t,q,$,ajout_y
$,t,q,-,-,-,x,n,t,$,ajout_y
$,A,n,-,-,-,x,n,A,$,ajout_y
$,q,n,-,-,-,x,n,q,$,ajout_y
$,t,q,-,-,-,t,x,t,$,ajout_y
$,q,n,-,-,-,>,x,q,$,ajout_y
$,S,f,-,-,-,n,E,S,$,ajout_y
$,S,f,-,-,-,t,E,S,$,ajout_y
$,S,f,-,-,-,y,E,S,$,ajout_y
$,S,f,-,-,-,y,t,S,$,ajout_y
$,S,f,-,-,-,t,t,S,$,ajout_y
$,t,S,-,-,-,E,f,t,$,ajout_y
$,A,n,-,-,-,E,f,A,$,ajout_y
$,S,f,-,-,-,E,f,S,$,ajout_y
$,t,S,-,-,-,t,E,t,$,ajout_y
$,S,f,-,-,-,>,E,S,$,ajout_y
$,q,r,-,-,-,n,H,q,$,ajout_y
$,q,r,-,-,-,t,H,q,$,ajout_y
$,q,r,-,-,-,y,H,q,$,ajout_y
$,q,r,-,-,-,y,t,q,$,ajout_y
$,q,r,-,-,-,t,t,q,$,ajout_y
$,t,q,-,-,-,H,r,t,$,ajout_y
$,A,n,-,-,-,H,r,A,$,ajout_y
$,q,r,-,-,-,H,r,q,$,ajout_y
$,t,q,-,-,-,t,H,t,$,ajout_y
$,q,r,-,-,-,>,H,q,$,ajout_y
$,m,s,-,-,-,n,q,m,$,ajout_y
$,m,s,-,-,-,t,q,m,$,ajout_y
$,m,s,-,-,-,y,q,m,$,ajout_y
$,m,s,-,-,-,y,t,m,$,ajout_y
$,m,s,-,-,-,t,t,m,$,ajout_y
$,t,m,-,-,-,q,s,t,$,ajout_y
$,A,n,-,-,-,q,s,A,$,ajout_y
$,m,s,-,-,-,q,s,m,$,ajout_y
$,t,m,-,-,-,t,q,t,$,ajout_y
$,m,s,-,-,-,>,q,m,$,ajout_y
$,f,r,-,-,-,y,t,f,$,ajout_y
$,f,r,-,-,-,t,t,f,$,ajout_y
$,t,f,-,-,-,t,E,t,$,ajout_y
$,q,l,-,-,-,n,x,q,$,ajout_y
$,q,l,-,-,-,t,x,q,$,ajout_y
$,q,l,-,-,-,y,x,q,$,ajout_y
$,q,l,-,-,-,y,t,q,$,ajout_y
$,q,l,-,-,-,t,t,q,$,ajout_y
$,t,q,-,-,-,x,l,t,$,ajout_y
$,A,n,-,-,-,x,l,A,$,ajout_y
$,q,l,-,-,-,x,l,q,$,ajout_y
$,t,q,-,-,-,t,x,t,$,ajout_y
$,q,l,-,-,-,>,x,q,$,ajout_y
$,f,T,-,-,-,n,x,f,$,ajout_y
$,f,T,-,-,-,t,x,f,$,ajout_y
$,f,T,-,-,-,y,x,f,$,ajout_y
$,f,T,-,-,-,y,t,f,$,ajout_y
$,f,T,-,-,-,t,t,f,$,ajout_y
$,t,f,-,-,-,x,T,t,$,ajout_y
$,A,n,-,-,-,x,T,A,$,ajout_y
$,f,T,-,-,-,x,T,f,$,ajout_y
$,t,f,-,-,-,t,x,t,$,ajout_y
$,f,T,-,-,-,>,x,f,$,ajout_y
$,E,l,-,-,-,n,x,E,$,ajout_y
$,E,l,-,-,-,t,x,E,$,ajout_y
$,E,l,-,-,-,y,x,E,$,ajout_y
$,E,l,-,-,-,y,t,E,$,ajout_y
$,E,l,-,-,-,t,t,E,$,ajout_y
$,t,E,-,-,-,x,l,t,$,ajout_y
$,A,n,-,-,-,x,l,A,$,ajout_y
$,E,l,-,-,-,x,l,E,$,ajout_y
$,t,E,-,-,-,t,x,t,$,ajout_y
$,E,l,-,-,-,>,x,E,$,ajout_y
$,S,r,-,-,-,y,t,S,$,ajout_y
$,S,r,-,-,-,t,t,S,$,ajout_y
$,t,S,-,-,-,t,H,t,$,ajout_y
